,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
 Sum of sqaures: Variance [1] (out.sosvh) ,0.457610674,0.453599799,0.278562437,0.373497706,0.341104176,0.358757123,0.365600514,0.296313489,0.447330725,0.481490492,0.40274919,0.399252792,0.341323016,0.346977778,0.332347663,0.360390435,0.250582129,0.359960918,0.295656606,0.342915882,0.458606293,0.422396505,0.349103373,0.363919014,0.249442785,0.261412666,0.314300278,0.43133368,0.256709944,0.317484455,0.337060345,0.437820594,0.275984203,0.390939042,0.415543019,0.342208791,0.421991102,0.42872843,0.422953131,0.30748591,0.316627803,0.252688437,0.199298162,0.443128173,0.48874367,0.488203571,0.479752251,0.329610927,0.34601849,0.365175,0.353020486,0.370041423,0.437594725,0.390634668,0.462805753,0.515200218,0.353841672,0.442144506,0.455146667,0.212600265,0.241194483,0.360586353,0.302796684,0.294525048,0.324424747,0.213408729,0.190044237,0.234343404,0.260198812,0.206051079,0.311178681,0.391348541,0.228307899,0.316997303,0.349306883,0.346431948,0.241710697,0.430651906,0.39304697,0.385807143,0.301584574,0.239389055,0.236945035,0.361330605,0.294196052
 Sum average [1] (out.savgh) ,0.19627574,0.205560421,0.178770962,0.26986112,0.198919716,0.247241138,0.181652254,0.278195488,0.168669117,0.189127681,0.190662782,0.216803033,0.174309485,0.239396499,0.132932077,0.159896409,0.25149063,0.180332551,0.220525348,0.244171698,0.140685739,0.267823231,0.209313671,0.186474221,0.272761061,0.129204455,0.213960161,0.193289604,0.229673519,0.188666327,0.212236896,0.307091561,0.115996637,0.184136532,0.22944959,0.169049453,0.205170125,0.198679686,0.216120004,0.11057668,0.179707534,0.166856625,0.219700784,0.20729269,0.228088718,0.203073289,0.204456793,0.204053496,0.282463954,0.183074884,0.225934749,0.193441642,0.176190331,0.17595777,0.1605018,0.175325293,0.162987995,0.213524513,0.241682087,0.222045824,0.185076741,0.189313945,0.224394017,0.184937355,0.186619467,0.172489594,0.178476907,0.186789878,0.211274237,0.236960438,0.17863903,0.238903381,0.13632794,0.171204481,0.254019988,0.244552335,0.219605362,0.184288117,0.231457551,0.189176349,0.373766723,0.204192675,0.233648608,0.22310388,0.165762881
 Sum variance [1] (out.svarh) ,0.154143429,0.147470239,0.132220073,0.152707084,0.131232239,0.133887394,0.193719313,0.141152138,0.175256924,0.1749969,0.190137716,0.140308415,0.156300456,0.141526305,0.157572582,0.232253865,0.138584945,0.171981008,0.144349783,0.165332051,0.167106937,0.121288422,0.16063482,0.150194431,0.190243257,0.178529924,0.111186463,0.148423423,0.134381356,0.119486649,0.147027277,0.140488073,0.154298852,0.123895879,0.129788981,0.206841595,0.159250256,0.152950677,0.207343479,0.207131071,0.125844528,0.139306727,0.171061208,0.131958704,0.129695361,0.134219194,0.134342494,0.141023737,0.135543966,0.159054496,0.140423035,0.199668076,0.133537666,0.147153484,0.157304094,0.169327405,0.169111813,0.137232032,0.134714738,0.190418621,0.145189159,0.156525227,0.154467499,0.166255549,0.153144501,0.15293472,0.158856908,0.144477839,0.145687909,0.208828147,0.138630724,0.136717531,0.216284563,0.159020141,0.165203289,0.15097881,0.159372057,0.142140143,0.151258719,0.159300549,0.169142393,0.156475967,0.179878624,0.150961351,0.178650647
 Sum entropy [1] (out.senth) ,0.289116921,0.264539581,0.293847621,0.325617238,0.267767833,0.268273204,0.324142349,0.28440762,0.291488459,0.316733324,0.327196016,0.311819483,0.323625168,0.336247752,0.329591524,0.297273408,0.306606961,0.290265828,0.319689373,0.324027966,0.280267209,0.29422616,0.302071897,0.345146654,0.337609593,0.380931544,0.275651334,0.253721096,0.327165354,0.345724276,0.328319082,0.332764639,0.344501986,0.324961868,0.255217203,0.341395691,0.263773956,0.274066925,0.31129293,0.448908777,0.288647411,0.365514846,0.338920087,0.279735594,0.332542104,0.266896,0.397170231,0.370175857,0.250339708,0.300015646,0.283690602,0.286792301,0.303715373,0.298269149,0.330705524,0.254722734,0.327754895,0.342822487,0.30121204,0.41542471,0.300629082,0.347961088,0.290156255,0.337237171,0.299721996,0.341680631,0.380182018,0.326138573,0.326436,0.324454487,0.297580308,0.307862772,0.388897844,0.37051674,0.355890561,0.249805855,0.372838511,0.360492101,0.265498839,0.299017341,0.302957761,0.32234453,0.372682067,0.288671692,0.324215224
 Difference variance [1] (out.dvarh) ,0.283084293,0.298677527,0.340581383,0.34804746,0.312919982,0.324356407,0.382633868,0.255233358,0.305400878,0.268298672,0.270091478,0.282764414,0.359200336,0.263716653,0.347355994,0.289281966,0.281777213,0.24131367,0.335232168,0.277637703,0.276678415,0.331350555,0.302729295,0.282831098,0.333954569,0.304356119,0.264073001,0.304668486,0.270598604,0.261354998,0.300727651,0.286246552,0.304863622,0.313076726,0.296723897,0.247200668,0.277211511,0.249843131,0.285825051,0.326858058,0.318541079,0.289306773,0.316399298,0.310916444,0.281550943,0.236653402,0.290001343,0.305051792,0.280912454,0.283846015,0.260129232,0.283070173,0.296323709,0.300210051,0.277635903,0.298436443,0.26289128,0.327307014,0.275524823,0.299113748,0.231919313,0.315135937,0.247325867,0.333859717,0.264399019,0.251676944,0.300578609,0.309817126,0.28325854,0.320113439,0.2864816,0.305064417,0.265912361,0.283544624,0.313589193,0.245067295,0.308135031,0.299058798,0.266686166,0.366271672,0.271913814,0.289958669,0.34184129,0.273298498,0.309857195
 Difference entropy [1] (out.denth) ,0.296939887,0.244138895,0.282680644,0.309593235,0.250756006,0.274497188,0.257373457,0.27620285,0.28212174,0.3008421,0.2935485,0.232326855,0.301560749,0.276497476,0.27104188,0.281156618,0.31241172,0.267132959,0.287195382,0.268011688,0.264309837,0.313434058,0.281944286,0.300112323,0.219866933,0.289342879,0.245007481,0.249689509,0.284083072,0.29686578,0.283834569,0.337418548,0.29785659,0.263655975,0.336652692,0.277733798,0.267687013,0.329211224,0.229582094,0.284481352,0.25674901,0.298994441,0.278369894,0.281973458,0.32322555,0.281819751,0.273196264,0.30017673,0.307023204,0.292697189,0.267412088,0.263300185,0.262792991,0.268869107,0.311991965,0.309544084,0.296374775,0.264451433,0.319674298,0.23449245,0.298241123,0.274766138,0.267836537,0.270552588,0.236398301,0.294673822,0.282096437,0.290943845,0.302691012,0.290841147,0.238154105,0.313531985,0.269563984,0.289109278,0.30326606,0.289406323,0.344741295,0.324298328,0.301413705,0.302273902,0.328391524,0.28952032,0.280609545,0.296232797,0.2958284
 Information measure of correlation1 [1] (out.inf1h) ,0.272475885,0.333223772,0.249810013,0.293876175,0.236401012,0.277600955,0.314455338,0.35059302,0.295236348,0.288284958,0.273097014,0.29952874,0.325444632,0.317031511,0.281353279,0.318647467,0.259217554,0.309635528,0.297912792,0.271720711,0.308758278,0.273230624,0.300593436,0.256490637,0.303315874,0.312328328,0.222936775,0.286880721,0.260640304,0.2799588,0.272966871,0.285714029,0.327358801,0.286825122,0.264345442,0.277764871,0.358177458,0.327761128,0.323338091,0.338148671,0.338313382,0.291382636,0.249690731,0.272415168,0.28947847,0.314504595,0.301829438,0.28296457,0.26965473,0.359888741,0.245992037,0.309695931,0.281377076,0.295895038,0.324121627,0.274038093,0.275654315,0.287484878,0.336653094,0.299300945,0.253885405,0.292646163,0.353135739,0.265769725,0.270489626,0.317932168,0.288061829,0.263012938,0.311865568,0.299867872,0.304058668,0.243639539,0.277437238,0.290587941,0.302124256,0.288767198,0.279955717,0.283302871,0.274650117,0.304992816,0.24617051,0.284450068,0.318192784,0.337044441,0.299514948
 Informaiton measure of correlation2 [1] (out.inf2h) ,0.283247965,0.348820134,0.254552557,0.268545579,0.231069119,0.299149903,0.312174966,0.315325403,0.297220432,0.28930394,0.295318924,0.310980662,0.356209506,0.30751839,0.278863121,0.321228264,0.254829353,0.327094715,0.27397153,0.326655802,0.333054751,0.230522334,0.261564669,0.278852343,0.304952091,0.295242014,0.212232457,0.288277263,0.245606416,0.289906993,0.287345443,0.287142082,0.328501392,0.28074553,0.225839829,0.262715023,0.3502422,0.278512288,0.284605889,0.322159766,0.313770323,0.269281982,0.267914508,0.273793464,0.2971334,0.343015196,0.298550532,0.270531526,0.281334639,0.372575864,0.26206578,0.3303803,0.265259113,0.306657176,0.338146355,0.264665715,0.280548397,0.302788612,0.330951012,0.320223896,0.221801506,0.285411294,0.340096347,0.284323033,0.279645003,0.330164533,0.276054993,0.258234932,0.311394943,0.289589537,0.313388503,0.241246712,0.299153594,0.299183179,0.281237578,0.280710135,0.248434183,0.295549199,0.256746165,0.291965132,0.245158948,0.302798351,0.26923189,0.330241197,0.303573324
 Inverse difference normalized (INN) [3] (out.indnc) ,0.164385892,0.214480772,0.14664608,0.151960075,0.161443276,0.144710134,0.177701723,0.177666388,0.189222539,0.220600993,0.213470874,0.210950421,0.25803775,0.158330558,0.206487176,0.202732456,0.119523119,0.187696712,0.181555656,0.165059057,0.165570592,0.165821054,0.151095647,0.204319661,0.198031632,0.237664205,0.116411754,0.136640455,0.155844806,0.181555434,0.143225473,0.198770323,0.187551517,0.153623891,0.160952691,0.201328121,0.180184189,0.219099762,0.271085677,0.308364336,0.199285389,0.172202975,0.184310152,0.138246165,0.154369713,0.250954931,0.220773104,0.190217353,0.131111424,0.163567859,0.173772721,0.178926131,0.162886394,0.122359363,0.208009433,0.129648401,0.255481213,0.165589949,0.213984408,0.156547282,0.188565752,0.190857091,0.165897519,0.185104983,0.134139089,0.184586228,0.185766455,0.162721473,0.168839762,0.189636683,0.171120178,0.105284923,0.232550193,0.227754869,0.182118948,0.126240876,0.164425582,0.22196111,0.173994503,0.157903578,0.196931589,0.157409041,0.161087405,0.195736672,0.195106854
 Inverse difference moment normalized [3](out.idmnc),0.248977888,0.273547508,0.191076143,0.170422393,0.211701362,0.166375474,0.247197342,0.216662004,0.281585812,0.236543981,0.288243653,0.249287328,0.288306117,0.217946311,0.255551356,0.28087055,0.188422308,0.255755413,0.186617604,0.218889876,0.233509062,0.144846602,0.198293523,0.199996019,0.272674102,0.23769175,0.161721238,0.200651136,0.16646896,0.184410065,0.172315339,0.224309685,0.205884396,0.184956408,0.189190632,0.236395192,0.173434464,0.247453351,0.288463052,0.29165435,0.229622765,0.209125463,0.233375685,0.187415514,0.158112754,0.309392517,0.217017652,0.184589013,0.142282117,0.190870272,0.204356747,0.277835264,0.204967582,0.19677675,0.226472278,0.208995817,0.286801252,0.189259028,0.235724098,0.236586688,0.182742205,0.201358838,0.22184972,0.222281103,0.209530233,0.245076915,0.19541914,0.182781304,0.190831753,0.243566072,0.211624047,0.17130491,0.264019061,0.254729174,0.25147372,0.215521164,0.205303066,0.258888069,0.184274285,0.215349432,0.219273108,0.250846774,0.203032157,0.243867824,0.29021757
Fibroblast_Orientation,0.197363887,0.199075359,0.142457681,0.128169465,0.153750848,0.115886023,0.230698506,0.165336696,0.229662352,0.170301319,0.214965069,0.19934071,0.233098637,0.185962816,0.206899214,0.254563916,0.146667369,0.230994993,0.157693055,0.179332905,0.199242735,0.118678255,0.138704457,0.156853366,0.228878962,0.168913397,0.122535196,0.160844668,0.125479084,0.14147816,0.129315889,0.172963164,0.167830567,0.125347302,0.141193779,0.20591504,0.154121276,0.208065517,0.246921302,0.259695347,0.192315536,0.148562491,0.17097586,0.1234292,0.13221798,0.22746606,0.169800124,0.154352215,0.106556331,0.188985954,0.157037717,0.2445162,0.146482865,0.153055636,0.185861384,0.16719736,0.214315454,0.164486762,0.190788529,0.197504281,0.156231235,0.153473647,0.200521426,0.164587198,0.177172317,0.200642388,0.156789278,0.127471918,0.150658469,0.196946867,0.186911645,0.126836488,0.236269391,0.200185245,0.207013737,0.160566526,0.155591858,0.19707758,0.136707149,0.160344951,0.17636914,0.192760005,0.175029198,0.195585479,0.22184204
Fibroblast_Perimeter,0.220675461,0.245091996,0.2245098,0.173156029,0.231590543,0.207776713,0.188995441,0.213145585,0.239205172,0.204913788,0.238409751,0.237370666,0.191000196,0.182900515,0.237027411,0.210029645,0.192924738,0.222899307,0.195053627,0.192692098,0.185569669,0.200825812,0.198402892,0.192948178,0.210339837,0.203363537,0.211402679,0.226520965,0.182771584,0.18701446,0.188894304,0.204952305,0.20373076,0.204872136,0.212684563,0.190975515,0.195472611,0.254176798,0.208776546,0.173057252,0.173625765,0.185788647,0.208037725,0.214504445,0.199497122,0.273094556,0.187571092,0.200943925,0.235762425,0.192815415,0.222451132,0.204860136,0.219824352,0.208991328,0.185695191,0.204962307,0.232067558,0.172417909,0.228432516,0.171368254,0.223495564,0.194008097,0.199963951,0.208300999,0.183374214,0.186954639,0.180812568,0.196746919,0.182398178,0.211334402,0.20137599,0.17559694,0.185458759,0.182507816,0.211936043,0.215560078,0.174596488,0.208486821,0.260719759,0.198949715,0.218152768,0.187172784,0.195228553,0.19302914,0.193814472
Fibroblast_Solidity,0.624624498,0.017357275,0.570045432,0.449768167,0.072939063,0.400293303,0.14343278,0.759098502,0.599531197,0.375163719,0.640343252,0.410096421,0.50068562,0.094203629,0.629760929,0.110026042,0.070823185,0.627991865,0.084845833,0.575588733,0.06452024,0.801301524,0.581568761,0.610458089,0.85990802,0.56919987,0.06346081,0.751032231,0.5123715,0.343469636,0.557089041,0.450567399,0.02238768,0.283796959,0.219619119,0.572234304,0.624060038,0.569329718,0.277021848,0.594666504,0.079343169,0.57256341,0.670553938,0.049143747,0.22736733,0.082826117,0.451351197,0.525425184,0.1136987,0.367497633,0.302252398,0.695363977,0.397046632,0.829352467,0.777000318,0.275037011,0.308825775,0.679649026,0.020299946,0.75622687,0.630824911,0.531955424,0.621966276,0.36174311,0.406650314,0.671831621,0.099381232,0.8311557,0.74854957,0.101822122,0.414551981,0.082937532,0.113465677,0.62647721,0.120739586,0.076199963,0.301915625,0.673662789,0.345719012,0.838112327,0.114610919,0.525217044,0.64686578,0.082889008,0.786646951
Fibroblast_Eccentricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fibroblast_EquivDiameter,0.163212127,0.454300844,0.402413576,0.2939011,0.191762754,0.400223214,0.357897213,0.41724326,0.206103374,0.191202159,0.33510477,0.410632923,0.430770619,0.262722021,0.239249051,0.347327524,0.402875048,0.399175293,0.45358639,0.451131238,0.455567523,0.385093772,0.518643842,0.224458589,0.369943797,0.350096911,0.395422703,0.364394541,0.385875375,0.503967295,0.454140381,0.441325152,0.35513421,0.437514482,0.213974247,0.229210181,0.419434522,0.331366828,0.197484928,0.411412124,0.287277282,0.349517764,0.279003931,0.496840716,0.479079901,0.348567978,0.346278454,0.415609316,0.404479761,0.333590335,0.457241597,0.240216784,0.26742271,0.225858454,0.359605064,0.120473614,0.450629928,0.235592506,0.447996509,0.265100307,0.391150085,0.419371586,0.519341403,0.479352752,0.398019187,0.305593358,0.335476553,0.275223296,0.317625678,0.320184319,0.425123467,0.370693539,0.403469385,0.396127939,0.318639042,0.440102181,0.336246318,0.335702295,0.400289092,0.345563496,0.198488255,0.354123065,0.42886264,0.349919136,0.446857828
Fibroblast_MajorAxisLength,0.043111592,0.001920768,0.012976468,0.017976763,0.001928883,0.021349985,0.040976932,0.001892385,0.027004115,0.028208722,0.031979982,0.009264032,0,0,0.014087532,0,0,0.007679739,0.019089983,0.000960384,0,0.036349318,0.050955754,0.028526847,0,0.026250111,0.038424102,0.019084826,0.059729369,0,0.016249753,0.030049096,0.004779412,0.010970432,0.036093408,0.024913013,0.00096432,0.003845238,0,0.002877179,0.024080278,0.031426985,0.018817115,0.021353305,0.007608472,0.021245187,0.046893091,0,0.022565566,0.049838822,0.037563588,0.077352175,0.034274014,0,0.013090729,0.009418217,0.008653754,0.026116553,0,0.020681557,0.025895557,0.026006609,0.030746643,0.000960784,0.057212748,0.022838806,0.035969003,0.031894425,0.028759147,0.087163721,0,0.046678896,0.030010383,0.000962567,0.014962629,0.001887621,0.003853486,0.00467915,0.037372675,0.005748663,0.080305616,0.014126231,0.039904466,0,0.009054586
Fibroblast_MinorAxisLength,0.1169029,0.010840333,0.034719869,0.078703853,0.073064197,0.05838949,0.146342738,0.033793672,0.067705996,0.064334789,0.054677547,0.057418806,0.025123575,0.03176138,0.060404601,0.082666741,0.024124597,0.087927795,0.090368527,0.053221368,0.056115887,0.071947935,0.114038158,0.074342912,0.033571653,0.040522728,0.046873234,0.047445216,0.118745327,0.014975572,0.040849249,0.034336756,0.015465396,0.036671588,0.105083201,0.110014628,0.039129591,0.059475524,0.074882474,0.04798905,0.030300345,0.029873689,0.034775385,0.038098437,0.032268683,0.03374039,0.045685071,0.029664482,0.033019498,0.1137077,0.037657985,0.234703347,0.047809086,0.021786046,0.036886062,0.062856355,0.03703679,0.036816582,0.018855926,0.077172721,0.049840892,0.041012759,0.043625084,0.024532759,0.08967542,0.024512976,0.038291868,0.035028877,0.030582024,0.162638571,0.0259678,0.227458421,0.125744647,0.036516607,0.067161593,0.027915909,0.080356776,0.033319182,0.077820233,0.091348851,0.333821388,0.029473911,0.093327991,0.004767277,0.027595549
Fibroblast_Area,0.089001127,0.016105746,0.027411441,0.052955047,0.054628182,0.043838216,0.094648762,0.026734721,0.036570078,0.045396013,0.033497792,0.046622956,0.024055797,0.026088406,0.05458214,0.054542612,0.027468755,0.068970259,0.056479913,0.039077215,0.04681011,0.05936871,0.087436286,0.046186261,0.028474213,0.027124775,0.043219879,0.027476127,0.076174725,0.010827532,0.03188821,0.023677886,0.00987646,0.02222907,0.067439146,0.078750618,0.023546991,0.033114185,0.049409309,0.033202922,0.025524232,0.025205825,0.037617081,0.026915638,0.0172613,0.024133267,0.036415359,0.027096366,0.026465252,0.073710833,0.025778308,0.148274336,0.029158888,0.034760468,0.027453261,0.060162583,0.032001207,0.028691504,0.017367725,0.05586149,0.03304195,0.034430442,0.035298286,0.017062266,0.061673447,0.023131614,0.028738669,0.026742189,0.022467018,0.108188422,0.021176977,0.166442016,0.090127522,0.030976953,0.06515557,0.024953803,0.059374594,0.029662619,0.049314147,0.071382088,0.248023742,0.021195395,0.0642406,0.00659599,0.024155599
